Product code,Language,Product id,Category,List price,Price,Weight,Quantity,Min quantity,Shipping freight,Date added,Downloadable,Files,Ship downloadable,Inventory tracking,Free shipping,Zero price action,Thumbnail,Detailed image,Product name,Description,Meta keywords,Meta description,Search words,Page title,Taxes,Features,Options,Secondary categories,Pay by points,Override points,Override exchange rate,Short description,Status,Vendor
"","en","11","Electronics///Televisions///LED Televisions","0.00","9999.00","0.000","1","0","0.00","26 Aug 2017 16:47:13","N","","N","B","N","R","","exim/backup/images/TV_Sub_1_g6fm-2a.png#{[en]:;}","LG 49 LH5700 Full HD 1080p Smart LED TV - 49"" Class (48.5"" Diag) [CLONE]","<div style=""color:rgb(51,51,51);font-family:Targetica, 'Helvetica Neue', Helvetica, Arial, sans-serif;font-size:14px;font-style:normal;font-weight:normal;letter-spacing:normal;text-indent:0px;text-transform:none;white-space:normal;word-spacing:0px;background-color:rgb(255,255,255);"">• Vivid ultra-high definition picture<br />• HDR High Dynamic Range content<br />• PurColor for accurate color expression<br />• Smart TV capabilities with Built-in WiFi<br />• Comes with optional use stand or wall-mount capabilities<br /><br />Get instant access to the entertainment you want with the Samsung UN50KU6300 50"" Smart UHD 4K 120 Motion Rate TV. Smart TV attributes take your home entertainment to the next level of quality.</div><ul class=""h-standardSpacing override-highlights""><li><span class=""h-text-grayDarker""><strong>Battery</strong> required, included:</span></li><li><span class=""h-text-grayDarker""><strong>Screen Size:</strong> 49.5 inches</span></li><li><span class=""h-text-grayDarker""><strong>Video Resolution:</strong> 4K</span></li><li><span class=""h-text-grayDarker""><strong>Screen Refresh Rate:</strong> 120 Hz</span></li><li><span class=""h-text-grayDarker""><strong>Backlight Type:</strong> LED full array</span></li><li><span class=""h-text-grayDarker""><strong>Number of HDMI Inputs</strong> 3</span></li><li><span class=""h-text-grayDarker""><strong>Wireless Technology:</strong> Wi-Fi</span></li><li><span class=""h-text-grayDarker""><strong>Dimensions:</strong> Without Stand: 37.8 inches H x 66 inches W x 2.8 inches D ; With Stand: 41.2 inches H x 66 inches W x 12.5 inches D</span></li><li><span class=""h-text-grayDarker""><strong>Weight:</strong> 38.5 pounds</span></li><li><span class=""h-text-grayDarker""><strong>Tuner Type:</strong> ATSC</span></li><li><span class=""h-text-grayDarker""><strong>Model #:</strong> UN50MU6300FXZA</span></li><li><span class=""h-text-grayDarker""><strong>VESA Mounting Standard:</strong> 400x400</span></li><li><span class=""h-text-grayDarker""><strong>TV Condition:</strong> new</span></li><li><span class=""h-text-grayDarker""><strong>Warranty Description:</strong> 1 Year Limited Manufacturer Warranty</span></li><li>TCIN: <span class=""h-text-grayDarker"">50714354</span></li><li>UPC: <span class=""h-text-grayDarker"">887276209647</span></li><li>Store Item Number (DPCI): <span class=""h-text-grayDarker"">008-09-1101</span></li><li>EnergyGuide Label Required: <span class=""h-text-grayDarker"">ENERGYGUIDE LABEL REQUIRED</span></li></ul>","","","","","","Brand Name: S[Brand2]; Manufacturer: S[Manufacturer2]; Condition: S[Used]; Color: S[Blue]; Size: S[L]; Design: S[Modern]","(Innovity) Color: S///inventory=N///missing_variants_handling=M///multiupload=N///required=N///status=A; (Innovity) Size: R///inventory=N///missing_variants_handling=M///multiupload=N///required=N///status=A","","Y","N","N","","D","Innovity"
"","en","12","","650.00","500.00","0.000","1","0","0.00","08 Jan 2018 10:46:04","N","","N","B","N","R","","exim/backup/images/start-t-shirt-brand-teemill.jpg#{[en]:;}","Tee1","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","13","","650.00","500.00","0.000","1","0","0.00","08 Jan 2018 10:46:36","N","","N","B","N","R","","exim/backup/images/start-t-shirt-brand-teemill_hc3e-u4.jpg#{[en]:;}","Tee1","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","61","","0.00","0.00","0.000","1","0","0.00","12 Feb 2018 13:15:29","N","","N","B","N","R","","","CategoryChekc","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","16","","0.00","0.00","0.000","1","0","0.00","10 Jan 2018 15:21:04","N","","N","B","N","R","","","RR1","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","17","","0.00","0.00","0.000","1","0","0.00","10 Jan 2018 15:21:49","N","","N","B","N","R","","","RR1","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","62","","0.00","0.00","0.000","1","0","0.00","12 Feb 2018 13:16:04","N","","N","B","N","R","","","CategoryChekc","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","19","Apparel///test","0.00","0.00","0.000","1","0","0.00","10 Jan 2018 15:36:11","N","","N","B","N","R","","","RR3","","","","","","","","","","Y","N","N","","A","Innovity"
"","en","20","","0.00","0.00","0.000","1","0","0.00","10 Jan 2018 15:39:40","N","","N","B","N","R","","","RR4","","","","","","","","","","N","N","N","","A","Ramya A"
"123","en","21","","125.00","100.00","0.000","1","0","0.00","16 Jan 2018 11:05:57","N","","N","B","N","R","","exim/backup/images/T-shrits.jpg#{[en]:;}","T-shirts","<p style=""margin-left:20px;"">T-shirts </p>","","","","T-Shirts","","","","","N","N","N","","A","Rajesh D"
"123","en","22","","145.00","123.00","0.000","10","0","0.00","16 Jan 2018 11:07:44","N","","N","B","N","R","","exim/backup/images/T-shrits_oahr-ii.jpg#{[en]:;}","T-shirts","<p style=""margin-left:60px;"">T-Shirts</p>","","","","Shirts","","","","","N","N","N","","A","Rajesh D"
"123","en","23","","145.00","123.00","0.000","10","0","0.00","16 Jan 2018 11:08:42","N","","N","B","N","R","","exim/backup/images/T-shrits_cvod-rm.jpg#{[en]:;}","Shirts","","","","","","","","","","N","N","N","","A","Rajesh D"
"123","en","24","","145.00","123.00","0.000","10","0","0.00","16 Jan 2018 11:09:06","N","","N","B","N","R","","","Shirts","","","","","","","","","","N","N","N","","A","Rajesh D"
"123","en","25","","145.00","123.00","0.000","10","0","0.00","16 Jan 2018 11:12:10","N","","N","B","N","R","","exim/backup/images/T-shrits_foie-x9.jpg#{[en]:;}","Shirts","","","","","","","","","","N","N","N","","A","Rajesh D"
"123","en","26","","12.00","1.00","0.000","100","0","0.00","17 Jan 2018 15:21:23","N","","N","B","N","R","","","Testing","<p>testing</p>","","","","testing","","","","","N","N","N","","A","Rajesh D"
"ABC2","en","53","Home///Lighting///Bulbs///Infrared Bulbs","0.00","39.90","0.000","7","0","0.00","08 Feb 2018 15:57:00","","","","B","","","","","Eminent EM6058 Infrared Illuminator","Eminent EM6058 Infrared Illuminator. Colour of product: White","","","","","","(Colour) Colour of product: S[White]; (Technical details) On/off switch: S[Y]; (Technical details) Maximum operating distance: S[30m]","","","N","N","N","","A","Acme Corporation"
"ABC3","en","54","Home///Lighting///Bulbs///Fluorescent Bulbs","0.00","75.24","0.000","10","0","0.00","08 Feb 2018 15:57:00","","","","B","","","","","GP Lighting 3W / E14 / Mini Candle","The range of illumination GP Lighting is designed to transition from an inefficient incandescent to an energy efficient alternative to simply expire. The range consists of energy-efficient halogen lighting, up to 30% savings compared to incandescent and compact energy saving bulbs in all shapes and sizes up to 80% savings!","","","","","","(HD support) Lamp power: S[3W]; (HD support) Colour of product: S[White]; (HD support) Bulb lifetime: S[8000h]","","","N","N","N","GP Lighting 3W / E14 / Mini Candle. Lamp power: 3W, Bulb lifetime: 8000h, Colour of product: White. Input voltage: 230V","A","Acme Corporation"
"","en","29","","0.00","0.00","0.000","1","0","0.00","19 Jan 2018 17:04:48","N","","N","B","N","R","","","Price Test","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","30","","0.00","0.00","0.000","1","0","0.00","19 Jan 2018 17:05:26","N","","N","B","N","R","","","Price Test","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","31","","0.00","12.00","0.000","1","0","0.00","19 Jan 2018 17:05:34","N","","N","B","N","R","","","Price Test","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","32","","23.00","12.00","0.000","1","0","0.00","19 Jan 2018 17:05:41","N","","N","B","N","R","","","Price Test","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","63","Apparel///Shoes","0.00","0.00","0.000","1","0","0.00","12 Feb 2018 13:16:34","N","","N","B","N","R","","","JProd","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","34","","0.00","0.00","0.000","1","0","0.00","19 Jan 2018 17:06:23","N","","N","B","N","R","","","Testing Price","","","","","","","","","","N","N","N","","A","Rajesh D"
"","en","35","","500.00","12.00","0.000","10","0","0.00","19 Jan 2018 17:06:53","N","","N","B","N","R","","","Testing Price","","","","","","","","","","N","N","N","","A","Rajesh D"
"","en","36","","0.00","0.00","0.000","1","0","0.00","19 Jan 2018 17:07:50","N","","N","B","N","R","","","ssf","","","","","","","","","","N","N","N","","A","Ramya A"
"","en","41","Kids Clothing","0.00","1499.00","0.000","0","0","0.00","24 Jan 2018 09:21:50","N","","N","B","N","R","","","Barbie dress","","","","","","","Brand Name: S[Test Brand2]","","","Y","N","N","","A","lhs"
"ABC1","en","52","Home///Lighting///Bulbs///Incandescent Bulbs","0.00","37.62","0.000","10","0","0.00","08 Feb 2018 15:57:00","","","","B","","","","","GP Lighting Energiesparlampe Mini Candle 5W / E14","<b>Energy Saving Lamp</b><br />-Lamp Base E14<br />-Life span 8000 hrs<br />-Wattage 5W","","","","","","(HD support) Bulb power: S[5W]; (Display) Power requirements: S[220-240V]; (HD support) Fitting/cap type: S[E14]","","","N","N","N","GP Lighting Energiesparlampe Mini Candle 5W / E14. Bulb power: 5W, Fitting/cap type: E14. Power requirements: 220-240V","A","Acme Corporation"
"","en","42","Apparel","0.00","1299.00","0.000","0","0","0.00","24 Jan 2018 09:25:01","N","","N","B","N","R","","","Barbie dress","","","","","","","Brand Name: S[Test Brand3]","","","Y","N","N","","A","Innovity"
"","en","43","School Supplies","0.00","0.00","0.000","1","0","0.00","24 Jan 2018 09:27:47","N","","N","B","N","R","","","lunch box","","","","","","","","","","Y","N","N","","A","Innovity"
"321294009","en","44","Books///Computers & Internet","45.00","45.00","0.000","50","0","0.00","06 Feb 2004 10:50:00","N","","N","B","N","R","","","11","<p>If you',re like most Acrobat users--creative, business, and engineering pros who work with complex electronic documents--you can ill afford to miss a beat in your production workflow. Then again, you can ill afford being left behind when it comes to mastering the newest version of the important tool on your desktop, Adobe Acrobat 7. Not to worry: Adobe has brought the classroom to you in this handy volume, completely revised to cover all that',s new and different in Acrobat 7. Through a series of self-paced lessons (each of which builds on the last and includes hands-on projects that the you can create using the files on the accompanying CD-ROM), this guide acquaints you with all of Acrobat 7',s features for creating, reviewing, editing, commenting on, restructuring, and preflighting PDF files, including the newest: a tool for creating 3D objects, improved security, new tools for repairing errors in print preflight, structured bookmarks, the ability to export comments to Word docs, and more. Professional tips and techniques are scattered throughout!</p>","","","","","VAT","ISBN: T[34225634890]","","","Y","N","N","","A","TestV"
